1 input_baseline.asc: UAV Cruise and Target Attack ' UAV ' Apr 20 2022 23:45:25
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
2.8             -2.01956        -16.7231        -11.5013        11521.7         
0.632709        14.7065         35.4004         6990.31         197.512         
79.3339         -0.619463       40.754          566.477         9.68709         
36.5543         194.088         2.13539         6               133.672         
1676.58         5.45785         90              0               2.05419         
0               15              -55.5081        -55.7571        -55.5081        
0.549601        2.80421         0.75222         2.67448         -1              
-1.70675        -2.13539        7000            23758.6         0               
0               0               0               0               0               
0               0               0               
3               -1.99812        -16.6922        -11.4295        11479.4         
0.631527        14.7069         35.4004         6989.92         197.144         
78.3653         -0.51949        48.3854         605.195         10.0791         
39.7565         193.085         1.78744         6               133.672         
1676.59         5.47189         90              0               2.04711         
0               15              -55.6341        -55.9498        -55.6341        
0.567809        2.80904         0.809351        2.64144         -1              
-1.7036         -1.78744        7000            23737.8         0               
0               0               0               0               0               
0               0               0               
3.2             -1.97676        -16.6666        -11.35          11437.1         
0.630349        14.7073         35.4005         6989.6          196.777         
77.3966         -0.423776       56.655          643.708         10.4032         
42.9358         192.03          1.4554          6               133.673         
1676.6          5.48599         90              0               2.04004         
0               15              -55.7845        -56.1437        -55.7845        
0.585241        2.8139          0.866084        2.609           -1              
-1.70098        -1.4554         7000            23716.4         0               
0               0               0               0               0               
0               0               0               
3.4             -1.95548        -16.6442        -11.2656        11394.9         
0.629173        14.7077         35.4006         6989.34         196.411         
76.4274         -0.332694       65.5582         682.004         10.6625         
46.0923         190.922         1.14047         6               133.673         
1676.61         5.50016         90              0               2.03298         
0               15              -55.9507        -56.3386        -55.9507        
0.601879        2.81878         0.922304        2.57696         -1              
-1.69869        -1.14047        7000            23694.6         0               
0               0               0               0               0               
0               0               0               
3.6             -1.93431        -16.6238        -11.1781        11352.9         
0.628002        14.7081         35.4007         6989.14         196.046         
75.4577         -0.24649        75.0904         720.073         10.8606         
49.2256         189.763         0.843399        6               133.673         
1676.62         5.51438         90              0               2.02593         
0               15              -56.1275        -56.5344        -56.1275        
0.617719        2.82368         0.977906        2.54528         -1              
-1.69662        -0.843399       7000            23672.3         0               
0               0               0               0               0               
0               0               0               
3.8             -1.91324        -16.6048        -11.0887        11311           
0.626835        14.7086         35.4008         6989            195.682         
74.4873         -0.165325       85.2468         757.906         11.0011         
52.3353         188.553         0.564633        6               133.674         
1676.63         5.52866         90              0               2.01891         
0               15              -56.3113        -56.731         -56.3113        
0.632775        2.82861         1.03279         2.51398         -1              
-1.69467        -0.564633       7000            23649.6         0               
0               0               0               0               0               
0               0               0               
4               -1.89229        -16.5865        -10.9982        11269.3         
0.625673        14.709          35.4009         6988.91         195.32          
73.5162         -0.0893057      96.0228         795.491         11.0877         
55.4207         187.292         0.304441        6               133.674         
1676.64         5.54297         90              0               2.01191         
0               15              -56.4998        -56.9283        -56.4998        
0.647067        2.83354         1.08687         2.48316         -1              
-1.6928         -0.304441       7000            23626.4         0               
0               0               0               0               0               
0               0               0               
4.2             -1.87147        -16.5686        -10.907         11227.7         
0.624517        14.7094         35.401          6988.88         194.959         
72.5444         -0.0185041      107.413         832.819         11.1242         
58.4812         185.981         0.0629637       6               133.674         
1676.65         5.55733         90              0               2.00493         
0               15              -56.6917        -57.1263        -56.6917        
0.660628        2.8385          1.14006         2.45295         -1              
-1.69098        -0.0629637      7000            23602.8         0               
0               0               0               0               0               
0               0               0               
4.4             -1.85078        -16.5511        -10.8154        11186.4         
0.623366        14.7098         35.4011         6988.89         194.6           
71.5718         0.0470324       119.414         869.88          11.1142         
61.5161         184.621         -0.159741       6               133.674         
1676.66         5.57171         90              0               1.99799         
0               15              -56.8858        -57.3247        -56.8858        
0.6735          2.84346         1.1923          2.42351         -1              
-1.68919        0.159741        7000            23578.7         0               
0               0               0               0               0               
0               0               0               
4.6             -1.83024        -16.5337        -10.7238        11145.2         
0.622221        14.7102         35.4012         6988.94         194.243         
70.5985         0.107273        132.018         906.664         11.0616         
64.5248         183.212         -0.363673       6               133.675         
1676.67         5.58613         90              0               1.99108         
0               15              -57.0815        -57.5234        -57.0815        
0.685732        2.84842         1.24354         2.39502         -1              
-1.68741        0.363673        7000            23554.2         0               
0               0               0               0               0               
0               0               0               
4.8             -1.80986        -16.5164        -10.6322        11104.4         
0.621083        14.7106         35.4013         6989.03         193.888         
69.6243         0.162197        145.222         943.161         10.97           
67.5065         181.755         -0.54887        6               133.675         
